Заголовок,Дата публикации,Источник
She Is Africa’s First Heat Officer. Can She Make Her City Livable?,7.1.2023,New York Times
Attacks Continue in Ukraine Despite Russia’s Supposed Cease-Fire,7.1.2023,New York Times
New Armored Vehicles Will Help Ukraine Take the Fight to Russia,7.1.2023,New York Times
A Prominent Mexican TV Anchor Departs. Will Dispassionate Coverage Go With Her?,8.1.2023,New York Times
"Benedict’s Burial Leaves Francis Alone, and Unbound",8.1.2023,New York Times
Bank Executive Accused of Urinating on a Fellow Airline Passenger,8.1.2023,New York Times
A Vibrant Nightlife Scene Booms in South Africa’s Townships,9.1.2023,New York Times
Bus Crash in Senegal Kills at Least 40,9.1.2023,New York Times
German Police Detain Iranian on Suspicion of Planning Chemical Attack,9.1.2023,New York Times
Skatepark With Colosseum View Gives Rome a Modern Tourist Attraction,10.1.2023,New York Times
"In Mexico, Biden Looks for Help With Migrants and Stronger Partnership",10.1.2023,New York Times
"Restoration of the Ozone Layer Is Back on Track, Scientists Say",10.1.2023,New York Times
What Does It Mean to Provide ‘Security Guarantees’ to Ukraine?,11.1.2023,New York Times
Russian Mercenary Group Says It Has Taken Contested Ukrainian Town,11.1.2023,New York Times
Ukrainian troops will travel to Oklahoma to learn to operate the Patriot missile system.,11.1.2023,New York Times
‘A Wild Card’: Son of Uganda’s President Jostles to Succeed His Father,12.1.2023,New York Times
"As China Reopens, Online Finger-Pointing Shows a Widening Gulf",12.1.2023,New York Times
U.S. and Japan Say They Will Strengthen Military Cooperation,12.1.2023,New York Times
"In a First, South Korea Declares Nuclear Weapons a Policy Option",13.1.2023,New York Times
Sri Lanka’s Former President Ordered to Pay Victims of 2019 Bombings,13.1.2023,New York Times
Russia releases a U.S. Navy veteran quietly detained in Kaliningrad in April of last year.,13.1.2023,New York Times
She Witnessed Mao’s Worst Excesses. Now She Has a Warning for the World.,14.1.2023,New York Times
Russia’s Claim to Seize a Ukrainian Town Exposes Rifts Among Forces,14.1.2023,New York Times
‘Burying Us Alive’: Afghan Women Devastated by Suspension of Aid Under Taliban Law,14.1.2023,New York Times
"Hunting for Truffles Is a Perilous Pursuit, Especially for the Dogs Who Dig",15.1.2023,New York Times
"‘I’m Sorry, We’re From Moscow.’ In Bali, Warring Sides Learn to Cohabitate",15.1.2023,New York Times
German Village at Center of a Fight Over Coal and Climate Is Cleared Out,15.1.2023,New York Times
Dwindling Snow Leaves Swiss Alpine Villages Staring at an Identity Crisis,16.1.2023,New York Times
Plane Crash in Nepal Leaves at Least 68 Dead,16.1.2023,New York Times
Ex-NATO General and Ex-Prime Minister to Face Off in Czech Republic’s Presidential Race,16.1.2023,New York Times
"17 Years After Her Husband’s Crash in Nepal, a Pilot Met the Same Fate",17.1.2023,New York Times
U.K. Government Blocks Scottish Law Making Gender Change Easier,17.1.2023,New York Times
"Death Toll of Russian Strike in Dnipro Rises to 40, Ukraine Says",17.1.2023,New York Times
"No Visitors, No Drinking, Home by 9: Renting as a Single Woman in India",18.1.2023,New York Times
"School Is in Session, Power or Not",18.1.2023,New York Times
